"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
"Jan-92","STAR4","Chinese Taipei Open 1992",10700,"WS","Final","5023608","5000445","11-6 / 8-12 / 11-9","11-Jun"," 8-12 "," 11-9","","",11,6,8,12,11,9,,,,,2,1,30,27,6,10
"Jan-92","STAR4","Chinese Taipei Open 1992",10700,"WS","Quarter final","5000445","5053665","2-11 / 11-5 / 12-9","2-Nov"," 11-5 "," 12-9","","",2,11,11,5,12,9,,,,,2,1,25,25,6,6
"Jan-92","STAR4","Chinese Taipei Open 1992",10700,"WS","Round 3","5023608","5054421","11-4 / 11-0","11-Apr"," 11-0","","","",11,4,11,0,,,,,,,2,0,22,4,6,4
"Jan-92","STAR4","Chinese Taipei Open 1992",10700,"WS","Round 2","5000445","5016247","11-4 / 11-8","11-Apr"," 11-8","","","",11,4,11,8,,,,,,,2,0,22,12,6,4
"Jan-92","STAR4","Chinese Taipei Open 1992",10700,"WS","Round 1","5046986","5047026","11-1 / 5-11 / 11-6","11-Jan"," 5-11 "," 11-6","","",11,1,5,11,11,6,,,,,2,1,27,18,6,4
"Jan-92","STAR4","Japan Open 1992",10426,"WS","Final","5041088","5049931","11-2 / 11-0","11-Feb"," 11-0","","","",11,2,11,0,,,,,,,2,0,22,2,6,10
"Jan-92","STAR4","Japan Open 1992",10426,"WS","Quarter final","5049931","5050710","6-11 / 11-7 / 11-8","6-Nov"," 11-7 "," 11-8","","",6,11,11,7,11,8,,,,,2,1,28,26,6,6
"Jan-92","STAR4","Japan Open 1992",10426,"WS","Quarter final","5041088","5041477","11-8 / 11-1","11-Aug"," 11-1","","","",11,8,11,1,,,,,,,2,0,22,9,6,6
"Jan-92","STAR4","Japan Open 1992",10426,"WS","Round 2","5041088","5050080","11-7 / 11-8","11-Jul"," 11-8","","","",11,7,11,8,,,,,,,2,0,22,15,6,4
"Jan-92","STAR4","Japan Open 1992",10426,"WS","Round 2","5046844","5049247","11-4 / 3-11 / 11-9","11-Apr"," 3-11 "," 11-9","","",11,4,3,11,11,9,,,,,2,1,25,24,6,4
"Jan-92","STAR4","Japan Open 1992",10426,"WS","Round 1","5049931","5047026","11-2 / 11-5","11-Feb"," 11-5","","","",11,2,11,5,,,,,,,2,0,22,7,6,4
"Jan-92","STAR4","Japan Open 1992",10426,"WS","Round 1","5049247","5054421","11-6 / 11-3","11-Jun"," 11-3","","","",11,6,11,3,,,,,,,2,0,22,9,6,4
"Jan-92","STAR4","Japan Open 1992",10426,"WS","Qual Quarter final","5047026","5046890","6-11 / 12-10 / 12-11","6-Nov"," 12-10 "," 12-11","","",6,11,12,10,12,11,,,,,2,1,30,32,6,2
"Jan-92","STAR4","Korea Open 1992",10073,"WS","Quarter final","5050710","5050661","11-7 / 11-3","11-Jul"," 11-3","","","",11,7,11,3,,,,,,,2,0,22,10,6,6
"Jan-92","STAR4","Korea Open 1992",10073,"WS","Round 3","5050710","5047026","11-5 / 11-0","11-May"," 11-0","","","",11,5,11,0,,,,,,,2,0,22,5,6,4
"Jan-92","STAR4","Korea Open 1992",10073,"WS","Round 3","5055350","5046986","11-5 / 11-4","11-May"," 11-4","","","",11,5,11,4,,,,,,,2,0,22,9,6,4
"Jan-92","STAR4","Korea Open 1992",10073,"WS","Round 2","5050710","5016247","11-0 / 11-3","11-0 "," 11-3","","","",11,0,11,3,,,,,,,2,0,22,3,6,4
"Mar-92","STAR5","All England Open 1992",13659,"WS","Round 3","5049931","5041088","5-11 / 11-5 / 11-5","5-Nov"," 11-5 "," 11-5","","",5,11,11,5,11,5,,,,,2,1,27,21,7,4
"Mar-92","STAR5","All England Open 1992",13659,"WS","Round 2","5046986","5050426","11-2 / 11-8","11-Feb"," 11-8","","","",11,2,11,8,,,,,,,2,0,22,10,7,4
"Aug-92","OG","Olympic Games 1992",10786,"WS","Final","5041088","5050710","5-11 / 11-5 / 11-3","5-Nov"," 11-5 "," 11-3","","",5,11,11,5,11,3,,,,,2,1,27,19,10,10
"Aug-92","OG","Olympic Games 1992",10786,"WS","Quarter final","5041088","5053665","11-6 / 11-1","11-Jun"," 11-1","","","",11,6,11,1,,,,,,,2,0,22,7,10,6
"Aug-92","OG","Olympic Games 1992",10786,"WS","Round 3","5050710","5055350","12-10 / 11-1","12-Oct"," 11-1","","","",12,10,11,1,,,,,,,2,0,23,11,10,4
"Aug-92","OG","Olympic Games 1992",10786,"WS","Round 3","5053665","5046780","5-11 / 11-6 / 12-10","5-Nov"," 11-6 "," 12-10","","",5,11,11,6,12,10,,,,,2,1,28,27,10,4
