number,player_name,PR
1,Takuma OBAYASHI,5.082653876
2,ZHAO Jun Peng,34.35838944
3,Kiran GEORGE,5.386866147
4,LEONG Jun Hao,8.18696025
5,LEI Lan Xi,7.341989464
6,CHI Yu Jen,6.045784493
7,Kevin CORDON,3.248247334
8,Nhat NGUYEN,5.959558099
9,Kantaphon WANGCHAROEN,29.42910444
10,Misha ZILBERMAN,6.439642683
11,Alex LANIER,8.508343213
12,Ygor COELHO,3.364109077
13,Sathish Kumar KARUNAKARAN,1.199354919
14,Jan LOUDA,2.532961973
15,Mark CALJOUW,9.150219682
16,Mads CHRISTOPHERSEN,1.846324324
17,JEON Hyeok Jin,12.18950436
18,Yushi TANAKA,2.26548453
19,Kalle KOLJONEN,3.765819845
20,Jonathan MATIAS,1.193738822
21,Jia Heng Jason TEH,1.840855056
22,CHEAM June Wei,3.917624466
23,Ade Resky DWICAHYO,2.066073791
24,Mithun MANJUNATH,3.514436377
25,Pablo ABIAN,5.639912774
26,Koo TAKAHASHI,2.272462021
27,Joakim OLDORFF,3.157396721
28,S.Sankar Muthusamy SUBRAMANIAN,2.000931739
29,Dmitriy PANARIN,1.555325729
30,Max WEISSKIRCHEN,1.141555644
31,Daniil DUBOVENKO,1.571289417
32,Enogat ROY,1.178276138
