"","PR1","PR2.1","PR2.2","PR2.3","PR3.1","PR3.2","PR3.3","PR4","PR5","BT","ELO"
"PR1",1,0.998919779407584,0.999678167361094,0.99730858572322,0.999397452141355,0.991731337767923,0.990886146373951,0.995628355384453,0.965295375356351,0.918105268715025,0.899312070043777
"PR2.1",0.998919779407584,1,0.999662938687329,0.999457859213957,0.998950236755115,0.990710001380733,0.991448084435889,0.996388773827798,0.967716734485027,0.920745920745921,0.900862349033081
"PR2.2",0.999678167361094,0.999662938687329,1,0.998592362921631,0.999449737254615,0.991483110385549,0.991425241425241,0.996207044987533,0.966641082494741,0.919172291123511,0.899648116111531
"PR2.3",0.99730858572322,0.999457859213957,0.998592362921631,1,0.997738541945859,0.989169874840607,0.991014067233579,0.996118211057235,0.969275643056131,0.921850507216361,0.901332915052427
"PR3.1",0.999397452141355,0.998950236755115,0.999449737254615,0.997738541945859,1,0.994317674195723,0.994059294364172,0.995986736840395,0.968052272930322,0.921152526335453,0.901358803797828
"PR3.2",0.991731337767923,0.990710001380733,0.991483110385549,0.989169874840607,0.994317674195723,1,0.99892587087709,0.988520118093289,0.970115250603055,0.920539318405172,0.900532902057292
"PR3.3",0.990886146373951,0.991448084435889,0.991425241425241,0.991014067233579,0.994059294364172,0.99892587087709,1,0.989529271541467,0.973047785547785,0.924002318819392,0.903272540467662
"PR4",0.995628355384453,0.996388773827798,0.996207044987533,0.996118211057235,0.995986736840395,0.988520118093289,0.989529271541467,1,0.971529486773389,0.924282526416673,0.902883194041731
"PR5",0.965295375356351,0.967716734485027,0.966641082494741,0.969275643056131,0.968052272930322,0.970115250603055,0.973047785547785,0.971529486773389,1,0.905308614150078,0.882696571720962
"BT",0.918105268715025,0.920745920745921,0.919172291123511,0.921850507216361,0.921152526335453,0.920539318405172,0.924002318819392,0.924282526416673,0.905308614150078,1,0.965162885894593
"ELO",0.899312070043777,0.900862349033081,0.899648116111531,0.901332915052427,0.901358803797828,0.900532902057292,0.903272540467662,0.902883194041731,0.882696571720962,0.965162885894593,1
