"Player","Rating","Rank"
"5042447, 5042834",1973.67700917849,1
"5041849, 5042447",1904.45310317135,2
"5018652, 5048815",1898.05129069413,3
"5038134, 5045377",1874.83562254442,4
"5042525, 5052020",1866.7308765972,5
"5043363, 5044789",1863.88343730823,6
"5047971, 5049696",1844.78983128109,7
"5011746, 5042447",1834.99155990474,8
"5043743, 5044749",1825.019455192,9
"5007276, 5019495",1815.71320819762,10
"5019301, 5049696",1808.79639373309,11
"5045379, 5046232",1803.17921887447,12
"5043363, 5047406",1797.96634753161,13
"5018607, 5039298",1793.04517991031,14
"5005176, 5022359",1792.87633917259,15
"5004331, 5027439",1785.12346899972,16
"5011746, 5042834",1781.2752144138,17
"5025193, 5026866",1778.98803554401,18
"5046522, 5050083",1769.02273357791,19
"5010654, 5050249",1760.15862649657,20
"5046039, 5047971",1758.67844684802,21
"5043953, 5044615",1756.55445416424,22
"5009697, 5039907",1755.12129448304,23
"5009617, 5026468",1750.84860374307,24
"5042475, 5043953",1746.15162039569,25
"5037433, 5041264",1732.21690846566,26
"5042270, 5046238",1717.12563563234,27
"5020783, 5020794",1713.73454435115,28
"5009724, 5054789",1708.67049426117,29
"5021791, 5049828",1702.97746019389,30
"5009175, 5011089",1701.14934964812,31
"5023863, 5050182",1696.34347915308,32
"5011746, 5040479",1695.30574836832,33
"5005500, 5047406",1688.49618092341,34
"5045453, 5054422",1687.18215617785,35
"5043721, 5044070",1686.01088409502,36
"5003128, 5022387",1680.74848579322,37
"5007276, 5037432",1676.24479340285,38
"5040479, 5042834",1673.99548297811,39
"5045377, 5050081",1666.20456914369,40
"5050239, 5050276",1661.89812653928,41
"5040748, 5041264",1661.86684107262,42
"5002097, 5039226",1661.46115562506,43
"5004331, 5047406",1659.94649407125,44
"5041849, 5044070",1659.13102559941,45
"5023863, 5042806",1654.01683393862,46
"5029177, 5030311",1652.04292305856,47
"5004568, 5027748",1650.95322233866,48
"5014599, 5036163",1650.83855216758,49
"5015290, 5046802",1648.83937313877,50
"5046039, 5049696",1648.33197466962,51
"5030311, 5034687",1645.91864491859,52
"5048125, 5049639",1644.90053613872,53
"5002037, 5015477",1643.67498211089,54
"5019543, 5022144",1643.35028769416,55
"5037714, 5050083",1641.40324833774,56
"5004331, 5051725",1638.59843619882,57
"5054749, 5054789",1636.3394601968,58
"5029177, 5034687",1633.35074948813,59
"5006329, 5023244",1629.82566456352,60
"5019301, 5045870",1629.23072295248,61
"5019301, 5046039",1628.51983638204,62
"5049927, 5053399",1628.0369685913,63
"5043767, 5044103",1625.54212042567,64
"5040459, 5043014",1623.82366333664,65
"5021064, 5030311",1622.14826077474,66
"5014629, 5052020",1621.41146719702,67
"5042447, 5046802",1620.50517969901,68
"5002370, 5015246",1614.50576372673,69
"5007612, 5045957",1614.08273969153,70
"5015477, 5016116",1612.27929828596,71
"5029160, 5047971",1609.95549822174,72
"5002342, 5027748",1606.26148393561,73
"5034336, 5035330",1604.63017947409,74
"5044108, 5051725",1602.96492949626,75
"5005500, 5015477",1602.4908491728,76
"5043456, 5051725",1600.36496728871,77
"5044789, 5048475",1599.95299903551,78
"5042983, 5046518",1596.97660543333,79
"5042291, 5053110",1594.32475244223,80
"5023586, 5050941",1592.97127753876,81
"5006010, 5009487",1590.86163421333,82
"5013584, 5040913",1587.46595720941,83
"5035330, 5042475",1586.88703400765,84
"5014617, 5028463",1586.85569112606,85
"5027439, 5041354",1585.4705863042,86
"5017294, 5029101",1584.19986498216,87
