"Player","Rating","Rank"
"5044121",1946.12968256075,1
"5022329",1919.44176249851,2
"5004244",1910.10647656296,3
"5027923",1903.28956290285,4
"5010333",1887.50422849121,5
"5043776",1878.67262205721,6
"5044891",1873.61902876465,7
"5044094",1861.88829943233,8
"5043484",1859.72868373398,9
"5048888",1856.34030024935,10
"5020964",1855.39657290678,11
"5037682",1845.59906639528,12
"5049711",1842.9554040545,13
"5039942",1821.6756041847,14
"5045088",1805.22428440669,15
"5024343",1797.39329649023,16
"5041196",1791.31493471514,17
"5055620",1781.37996466923,18
"5049220",1777.90859343928,19
"5040984",1771.85303794096,20
"5008822",1767.54030791886,21
"5045381",1761.27606801102,22
"5054477",1756.80457118037,23
"5046326",1750.46974870505,24
"5043725",1749.52383234328,25
"5045257",1744.48888643958,26
"5053880",1739.20381186297,27
"5050244",1736.24096753375,28
"5019696",1729.36777138195,29
"5034154",1720.98163517698,30
"5040936",1717.79215948871,31
"5045386",1714.32846204859,32
"5005274",1713.2659973722,33
"5053374",1711.47819350172,34
"5019749",1708.58621159838,35
"5017381",1704.46435022057,36
"5047490",1704.45381999093,37
"5044872",1701.85472847476,38
"5044609",1701.64822009254,39
"5005433",1700.88188493752,40
"5043925",1689.89759018137,41
"5052970",1689.28507630707,42
"5048020",1678.68053724112,43
"5050764",1677.10003510632,44
"5048218",1675.15623247433,45
"5005479",1672.0517730684,46
"5040845",1667.21703852202,47
"5045861",1663.84035482018,48
"5055753",1661.73822658878,49
"5046076",1660.82195544389,50
"5020920",1657.67712146727,51
"5048592",1656.7350016402,52
"5007173",1655.36210200773,53
"5043478",1654.52430758487,54
"5014097",1654.15334477126,55
"5026528",1653.97301220808,56
"5051721",1647.89777891262,57
"5032471",1645.18094047617,58
"5034124",1644.80059111117,59
"5052196",1641.89219640586,60
"5020512",1636.12968712325,61
"5022042",1630.95735914267,62
"5046519",1617.83815013581,63
"5051712",1616.09140241295,64
"5027171",1614.67566741591,65
"5054478",1614.50227349605,66
"5037796",1611.50192501927,67
"5047961",1610.1755213606,68
"5015343",1609.69218085581,69
"5004469",1607.6079066801,70
"5013464",1601.07365232247,71
"5044093",1599.54421387491,72
"5032750",1594.73805003506,73
"5044122",1594.56241286001,74
"5014583",1592.5832385568,75
"5009061",1592.45306188568,76
"5017553",1589.9624391815,77
"5051746",1588.02516000651,78
"5016393",1586.50350590174,79
"5046080",1583.58589016657,80
"5036290",1583.0059350761,81
"5046331",1578.61851495899,82
"5022481",1577.02133843586,83
"5021254",1575.86643178946,84
"5046213",1575.78287833561,85
"5008736",1575.35910545929,86
"5021289",1571.11588220448,87
"5005054",1570.69309872769,88
"5031688",1569.41180429852,89
"5040040",1569.22769545368,90
"5006038",1569.18222222819,91
"5026073",1567.32713843563,92
"5019205",1566.21590650179,93
"5044172",1564.31024091058,94
"5051779",1562.61853503867,95
"5043463",1561.61996875351,96
"5053163",1557.797222166,97
"5025652",1554.82831856504,98
"5036787",1554.14021871101,99
"5047853",1553.85890601066,100
"5041348",1551.05882659555,101
"5026208",1549.16244247801,102
"5042181",1547.97180784949,103
"5033480",1547.88745208292,104
"5046360",1543.17240325023,105
"5044534",1541.01726655325,106
"5017093",1540.99821857929,107
"5045467",1540.61655263507,108
"5047907",1537.15013142139,109
"5016842",1536.267805543,110
"5051451",1530.93477600002,111
"5041523",1529.7693703564,112
"5029886",1529.73999727893,113
"5040761",1525.37688178781,114
"5007051",1524.16881990091,115
"5044072",1522.57462666682,116
"5048046",1520.17327532944,117
"5054489",1519.83815561608,118
"5047844",1517.52829998701,119
"5003993",1516.48489363898,120
"5037854",1512.46182722205,121
"5009558",1510.48315720864,122
"5027558",1505.76174252258,123
