"Player","Rating","Rank"
"5045115, 5045116",2039.62073619185,1
"5043417, 5051928",2039.31131846766,2
"5004093, 5044848",2017.73282123574,3
"5044788, 5055369",1988.33524108033,4
"5006605, 5031499",1902.94746527248,5
"5043417, 5051706",1884.98437080121,6
"5016626, 5045359",1879.01835041956,7
"5009052, 5038781",1871.57133143384,8
"5040752, 5043020",1866.23973392224,9
"5044101, 5044112",1863.29147086833,10
"5044097, 5044112",1826.88301023003,11
"5005599, 5013488",1817.64033243086,12
"5017347, 5036000",1803.29785532994,13
"5046051, 5050280",1801.79257277553,14
"5041519, 5043635",1798.11359190455,15
"5016626, 5054040",1795.46405512336,16
"5013488, 5043417",1795.07060147493,17
"5005599, 5046836",1791.67580310136,18
"5015808, 5047031",1791.1972024767,19
"5040348, 5040752",1790.87008077475,20
"5005599, 5051928",1790.20921274706,21
"5044097, 5044101",1787.59641549944,22
"5041012, 5051593",1773.8508006439,23
"5045109, 5050019",1762.71881193848,24
"5044112, 5051694",1760.77188353357,25
"5012905, 5017900",1758.18410463875,26
"5006258, 5026420",1755.26900946457,27
"5004208, 5048832",1749.30516418202,28
"5017900, 5046836",1748.55698453611,29
"5009052, 5040919",1744.47053404406,30
"5028776, 5031446",1743.27938854159,31
"5034340, 5049774",1739.26055283449,32
"5013641, 5014160",1735.20473304839,33
"5015732, 5055369",1733.35653277713,34
"5009052, 5012279",1719.62321250155,35
"5023879, 5050327",1717.01294983218,36
"5014553, 5015974",1716.95582405449,37
"5015808, 5055740",1705.92057272939,38
"5026089, 5039519",1703.85364028119,39
"5017336, 5020571",1703.73231671956,40
"5011743, 5017463",1699.26801622045,41
"5041927, 5050909",1697.01398967893,42
"5016793, 5030780",1679.67382904095,43
"5026408, 5045359",1677.0513684487,44
"5037795, 5040919",1676.40786611222,45
"5017463, 5051593",1664.40791318863,46
"5004093, 5050019",1660.47569481807,47
"5002888, 5055093",1658.66523245375,48
"5038781, 5050327",1657.93212309305,49
"5044101, 5044788",1651.81261426348,50
"5017900, 5033730",1647.12046961405,51
"5033202, 5033730",1640.64202561788,52
"5054040, 5054041",1640.19114945165,53
"5008768, 5044888",1639.38431881759,54
"5001745, 5015790",1638.77855610886,55
"5040919, 5050327",1634.80451359817,56
"5033202, 5046836",1634.53654829007,57
"5013951, 5028467",1632.32858923612,58
"5012279, 5050327",1630.8534593182,59
"5014160, 5019690",1629.06580011144,60
"5006789, 5033730",1625.64239581844,61
"5004093, 5044097",1621.97830289444,62
"5040186, 5040751",1621.29066061269,63
"5008547, 5046836",1620.11455477402,64
"5042090, 5044774",1615.59220164237,65
"5015790, 5026089",1614.19638416225,66
"5010627, 5016793",1611.12943193987,67
"5004135, 5004141",1610.20636367276,68
"5015974, 5033117",1609.17445475728,69
"5039034, 5039184",1603.16328187112,70
"5030659, 5038781",1601.62821537018,71
"5047936, 5055359",1592.90441067211,72
"5027023, 5040741",1592.72769913708,73
"5000741, 5013961",1592.71635222355,74
"5051593, 5054739",1592.08503084656,75
"5042042, 5055017",1591.82565510033,76
"5019690, 5030780",1591.09710080886,77
"5045349, 5052896",1587.62993516907,78
"5019492, 5037795",1583.0682610647,79
"5000445, 5041477",1581.26238469923,80
"5027023, 5042090",1579.58573003191,81
"5045349, 5055017",1579.27603009427,82
"5043757, 5051694",1576.91601633243,83
"5009463, 5023439",1576.34970861419,84
"5051595, 5055602",1575.6373660908,85
"5011713, 5012318",1574.84408162454,86
"5042177, 5043020",1572.6085311535,87
"5004093, 5044101",1568.35939331454,88
"5045689, 5046053",1567.85592911658,89
"5043819, 5043820",1562.19134901735,90
"5026742, 5053152",1558.63573788968,91
"5008742, 5029915",1557.50951032355,92
"5014712, 5049073",1554.84955460163,93
"5007693, 5046141",1553.79097394203,94
"5040348, 5042177",1552.96408435879,95
"5003946, 5044848",1552.61171581994,96
"5015732, 5025644",1548.72001837948,97
"5041141, 5042086",1548.39385579756,98
"5015630, 5025423",1548.01840966114,99
"5007523, 5039519",1547.35474952872,100
"5039519, 5040919",1544.79855732422,101
"5008742, 5042495",1542.18229270838,102
"5045349, 5055821",1540.60535349587,103
"5020426, 5033101",1538.94923725015,104
"5029744, 5040824",1538.19550586448,105
"5017956, 5019375",1537.73425963504,106
"5048449, 5055602",1535.74431423646,107
"5018494, 5039326",1535.53630236734,108
"5019690, 5035424",1534.9997351975,109
