"Rank","PlayerID","PageRank","ScaledScore","Iterations"
1,"5018652, 5048815",0.0355304868905801,355.304868905801,34
2,"5043363, 5044789",0.0263529370755531,263.529370755531,34
3,"5042475, 5043953",0.0258768890547567,258.768890547567,34
4,"5010654, 5050249",0.0256167347263433,256.167347263433,34
5,"5038134, 5045377",0.024063656885358,240.63656885358,34
6,"5043743, 5044749",0.0236780871178695,236.780871178695,34
7,"5019301, 5049696",0.0222262101214949,222.262101214949,34
8,"5009175, 5011089",0.020105295413679,201.05295413679,34
9,"5045379, 5046232",0.019006847536671,190.06847536671,34
10,"5041849, 5042447",0.0182686302185999,182.686302185999,34
11,"5017294, 5029101",0.018024089073641,180.24089073641,34
12,"5007276, 5019495",0.0177947705622174,177.947705622174,34
13,"5009617, 5026468",0.0173498550956359,173.498550956359,34
14,"5007612, 5045957",0.0167246982803471,167.246982803471,34
15,"5047971, 5049696",0.0163689853977474,163.689853977474,34
16,"5043953, 5044615",0.0162188745480208,162.188745480208,34
17,"5037433, 5041264",0.0151460710322243,151.460710322243,34
18,"5042525, 5052020",0.0144664087165814,144.664087165814,34
19,"5020783, 5020794",0.0142834468672318,142.834468672318,34
20,"5018607, 5039298",0.0141740646873477,141.740646873477,34
21,"5025193, 5026866",0.01391780146453,139.1780146453,34
22,"5002097, 5039226",0.0138929526679363,138.929526679363,34
23,"5004568, 5027748",0.0118569567117282,118.569567117282,34
24,"5009697, 5039907",0.0115317192285605,115.317192285605,34
25,"5023863, 5050182",0.0105771822817718,105.771822817718,34
26,"5005500, 5047406",0.0101823143433367,101.823143433367,34
27,"5005176, 5022359",0.0100880721744244,100.880721744244,34
28,"5009724, 5054789",0.010034043002818,100.34043002818,34
29,"5046522, 5050083",0.00996053954676106,99.6053954676106,34
30,"5021064, 5030311",0.0097308622910737,97.308622910737,34
31,"5048125, 5049639",0.00922614117121856,92.2614117121856,34
32,"5042447, 5042834",0.00906095007768469,90.6095007768469,34
33,"5046039, 5047971",0.00841665693125003,84.1665693125003,34
34,"5002370, 5015246",0.00742585267447954,74.2585267447954,34
