"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
1992-01-01,"STAR4","Chinese Taipei Open 1992",10700,"MS","Final","5034124","5040984","8-15 / 15-0 / 15-7","Aug-15"," 15-0 "," 15-7","","",8,15,15,0,15,7,NA,NA,NA,NA,2,1,38,22,6,10
1992-01-01,"STAR4","Chinese Taipei Open 1992",10700,"MS","Semi final","5040984","5049711","15-10 / 8-15 / 15-2","15-Oct"," 8-15 "," 15-2","","",15,10,8,15,15,2,NA,NA,NA,NA,2,1,38,27,6,8
1992-01-01,"STAR4","Chinese Taipei Open 1992",10700,"MS","Semi final","5034124","5046076","15-11 / 15-12","15-Nov"," 15-12","","","",15,11,15,12,NA,NA,NA,NA,NA,NA,2,0,30,23,6,8
1992-01-01,"STAR4","Chinese Taipei Open 1992",10700,"MS","Quarter final","5034124","5052970","9-15 / 15-7 / 15-1","Sep-15"," 15-7 "," 15-1","","",9,15,15,7,15,1,NA,NA,NA,NA,2,1,39,23,6,6
1992-01-01,"STAR4","Chinese Taipei Open 1992",10700,"MS","Round 3","5048691","5047849","15-7 / 15-3","15-Jul"," 15-3","","","",15,7,15,3,NA,NA,NA,NA,NA,NA,2,0,30,10,6,4
1992-01-01,"STAR4","Chinese Taipei Open 1992",10700,"MS","Round 3","5049711","5053759","15-9 / 7-15 / 15-9","15-Sep"," 7-15 "," 15-9","","",15,9,7,15,15,9,NA,NA,NA,NA,2,1,37,33,6,4
1992-01-01,"STAR4","Chinese Taipei Open 1992",10700,"MS","Round 2","5050208","5026528","15-7 / 15-5","15-Jul"," 15-5","","","",15,7,15,5,NA,NA,NA,NA,NA,NA,2,0,30,12,6,4
1992-01-01,"STAR4","Chinese Taipei Open 1992",10700,"MS","Round 2","5040984","5055004","7-15 / 15-12 / 15-10","Jul-15"," 15-12 "," 15-10","","",7,15,15,12,15,10,NA,NA,NA,NA,2,1,37,37,6,4
1992-01-01,"STAR4","Japan Open 1992",10426,"MS","Semi final","5034124","5052970","11-15 / 15-7 / 15-10","Nov-15"," 15-7 "," 15-10","","",11,15,15,7,15,10,NA,NA,NA,NA,2,1,41,32,6,8
1992-01-01,"STAR4","Japan Open 1992",10426,"MS","Quarter final","5034124","5040984","15-12 / 15-13","15-Dec"," 15-13","","","",15,12,15,13,NA,NA,NA,NA,NA,NA,2,0,30,25,6,6
1992-01-01,"STAR4","Japan Open 1992",10426,"MS","Round 3","5053759","5048592","15-6 / 15-12","15-Jun"," 15-12","","","",15,6,15,12,NA,NA,NA,NA,NA,NA,2,0,30,18,6,4
1992-01-01,"STAR4","Japan Open 1992",10426,"MS","Round 3","5052970","5026528","18-17 / 4-15 / 15-6","18-17 "," 4-15 "," 15-6","","",18,17,4,15,15,6,NA,NA,NA,NA,2,1,37,38,6,4
1992-01-01,"STAR4","Japan Open 1992",10426,"MS","Round 2","5049711","5055169","15-2 / 15-7","15-Feb"," 15-7","","","",15,2,15,7,NA,NA,NA,NA,NA,NA,2,0,30,9,6,4
1992-01-01,"STAR4","Japan Open 1992",10426,"MS","Round 2","5051712","5010741","8-15 / 15-10 / 15-4","Aug-15"," 15-10 "," 15-4","","",8,15,15,10,15,4,NA,NA,NA,NA,2,1,38,29,6,4
1992-01-01,"STAR4","Japan Open 1992",10426,"MS","Round 2","5040984","5043925","15-4 / 15-18 / 15-13","15-Apr"," 15-18 "," 15-13","","",15,4,15,18,15,13,NA,NA,NA,NA,2,1,45,35,6,4
1992-01-01,"STAR4","Japan Open 1992",10426,"MS","Round 2","5048592","5048691","18-14 / 15-7","18-14 "," 15-7","","","",18,14,15,7,NA,NA,NA,NA,NA,NA,2,0,33,21,6,4
1992-01-01,"STAR4","Japan Open 1992",10426,"MS","Round 1","5041196","5048811","15-4 / 15-4","15-Apr"," 15-4","","","",15,4,15,4,NA,NA,NA,NA,NA,NA,2,0,30,8,6,4
1992-01-01,"STAR4","Japan Open 1992",10426,"MS","Round 1","5040984","5055004","15-2 / 15-9","15-Feb"," 15-9","","","",15,2,15,9,NA,NA,NA,NA,NA,NA,2,0,30,11,6,4
1992-01-01,"STAR4","Japan Open 1992",10426,"MS","Round 1","5046716","5047849","15-3 / 15-17 / 17-16","15-Mar"," 15-17 "," 17-16","","",15,3,15,17,17,16,NA,NA,NA,NA,2,1,47,36,6,4
1992-01-01,"STAR4","Japan Open 1992",10426,"MS","Qual Round 1","5048811","5039801","15-11 / 14-17 / 15-7","15-Nov"," 14-17 "," 15-7","","",15,11,14,17,15,7,NA,NA,NA,NA,2,1,44,35,6,2
1992-01-01,"STAR4","Korea Open 1992",10073,"MS","Round 3","5050764","5041196","9-15 / 18-13 / 15-11","Sep-15"," 18-13 "," 15-11","","",9,15,18,13,15,11,NA,NA,NA,NA,2,1,42,39,6,4
1992-01-01,"STAR4","Korea Open 1992",10073,"MS","Round 2","5048592","5012174","15-4 / 15-10","15-Apr"," 15-10","","","",15,4,15,10,NA,NA,NA,NA,NA,NA,2,0,30,14,6,4
1992-01-01,"STAR4","Korea Open 1992",10073,"MS","Round 2","5026528","5055169","15-3 / 15-6","15-Mar"," 15-6","","","",15,3,15,6,NA,NA,NA,NA,NA,NA,2,0,30,9,6,4
1992-01-01,"STAR4","Chinese Taipei Open 1992",10700,"MS","Quarter final","5040984","5048691","15-11 / 15-6","15-Nov"," 15-6","","","",15,11,15,6,NA,NA,NA,NA,NA,NA,2,0,30,17,6,6
1992-01-01,"STAR4","Chinese Taipei Open 1992",10700,"MS","Round 3","5046076","5010741","17-15 / 15-9","17-15 "," 15-9","","","",17,15,15,9,NA,NA,NA,NA,NA,NA,2,0,32,24,6,4
1992-01-01,"STAR4","Chinese Taipei Open 1992",10700,"MS","Round 3","5040984","5050208","15-3 / 15-12","15-Mar"," 15-12","","","",15,3,15,12,NA,NA,NA,NA,NA,NA,2,0,30,15,6,4
