"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
1992-01-01,"STAR4","Chinese Taipei Open 1992",10700,"WD","Semi final","5036319, 5055320","5004998, 5055570","18-16 / 15-12","18-16 "," 15-12","","","",18,16,15,12,NA,NA,NA,NA,NA,NA,2,0,33,28,6,8
1992-01-01,"STAR4","Japan Open 1992",10426,"WD","Round 3","5046844, 5046994","5053439, 5053941","15-7 / 15-10","15-Jul"," 15-10","","","",15,7,15,10,NA,NA,NA,NA,NA,NA,2,0,30,17,6,4
1992-01-01,"STAR4","Japan Open 1992",10426,"WD","Round 2","5015724, 5047892","5000445, 5041477","17-16 / 15-9","17-16 "," 15-9","","","",17,16,15,9,NA,NA,NA,NA,NA,NA,2,0,32,25,6,4
1992-01-01,"STAR4","Korea Open 1992",10073,"WD","Round 2","5053439, 5053941","5015724, 5047892","10-15 / 17-14 / 15-11","Oct-15"," 17-14 "," 15-11","","",10,15,17,14,15,11,NA,NA,NA,NA,2,1,42,40,6,4
1992-03-01,"STAR5","All England Open 1992",13659,"WD","Semi final","5015724, 5047892","5004998, 5055570","15-10 / 15-4","15-Oct"," 15-4","","","",15,10,15,4,NA,NA,NA,NA,NA,NA,2,0,30,14,7,8
1992-03-01,"STAR5","All England Open 1992",13659,"WD","Round 2","5015724, 5047892","5053439, 5053941","15-4 / 15-7","15-Apr"," 15-7","","","",15,4,15,7,NA,NA,NA,NA,NA,NA,2,0,30,11,7,4
1992-03-01,"STAR5","All England Open 1992",13659,"WD","Round 1","5015724, 5047892","5042042, 5055017","15-12 / 15-10","15-Dec"," 15-10","","","",15,12,15,10,NA,NA,NA,NA,NA,NA,2,0,30,22,7,4
1992-03-01,"STAR5","All England Open 1992",13659,"WD","Round 2","5009463, 5023439","5046844, 5046994","15-9 / 11-15 / 15-5","15-Sep"," 11-15 "," 15-5","","",15,9,11,15,15,5,NA,NA,NA,NA,2,1,41,29,7,4
1992-04-01,"EC","European Championships 1992",13695,"WD","Final","5000445, 5041477","5042042, 5055017","8-15 / 15-11 / 15-8","Aug-15"," 15-11 "," 15-8","","",8,15,15,11,15,8,NA,NA,NA,NA,2,1,38,34,8,10
1992-04-01,"EC","European Championships 1992",13695,"WD","Semi final","5042042, 5055017","5046844, 5046994","9-15 / 18-16 / 15-3","Sep-15"," 18-16 "," 15-3","","",9,15,18,16,15,3,NA,NA,NA,NA,2,1,42,34,8,8
1992-04-01,"EC","European Championships 1992",13695,"WD","Quarter final","5042042, 5055017","5004998, 5055570","15-7 / 15-12","15-Jul"," 15-12","","","",15,7,15,12,NA,NA,NA,NA,NA,NA,2,0,30,19,8,6
1992-04-01,"EC","European Championships 1992",13695,"WD","Quarter final","5000445, 5041477","5023684, 5045219","15-9 / 15-5","15-Sep"," 15-5","","","",15,9,15,5,NA,NA,NA,NA,NA,NA,2,0,30,14,8,6
1992-08-01,"OG","Olympic Games 1992",10786,"WD","Round 2","5004998, 5055570","5023684, 5045219","18-14 / 15-5","18-14 "," 15-5","","","",18,14,15,5,NA,NA,NA,NA,NA,NA,2,0,33,19,10,4
1992-08-01,"OG","Olympic Games 1992",10786,"WD","Round 2","5009463, 5023439","5053439, 5053941","15-11 / 15-8","15-Nov"," 15-8","","","",15,11,15,8,NA,NA,NA,NA,NA,NA,2,0,30,19,10,4
1992-08-01,"OG","Olympic Games 1992",10786,"WD","Round 1","5046844, 5046994","5036319, 5055320","15-10 / 7-15 / 15-8","15-Oct"," 7-15 "," 15-8","","",15,10,7,15,15,8,NA,NA,NA,NA,2,1,37,33,10,4
1992-09-01,"STAR5","Malaysia Open 1992",12485,"WD","Quarter final","5000445, 5041477","5045288, 5048206","15-7 / 17-16","15-Jul"," 17-16","","","",15,7,17,16,NA,NA,NA,NA,NA,NA,2,0,32,23,7,6
1992-09-01,"STAR5","Malaysia Open 1992",12485,"WD","Round 2","5000445, 5041477","5049935, 5049974","15-5 / 15-6","15-May"," 15-6","","","",15,5,15,6,NA,NA,NA,NA,NA,NA,2,0,30,11,7,4
1992-09-01,"STAR5","Indonesia Open 1992",12084,"WD","Semi final","5050334, 5055570","5009463, 5023439","15-5 / 8-15 / 15-12","15-May"," 8-15 "," 15-12","","",15,5,8,15,15,12,NA,NA,NA,NA,2,1,38,32,7,8
1992-09-01,"STAR5","Indonesia Open 1992",12084,"WD","Quarter final","5009463, 5023439","5000445, 5041477","15-11 / 15-8","15-Nov"," 15-8","","","",15,11,15,8,NA,NA,NA,NA,NA,NA,2,0,30,19,7,6
1992-10-01,"STAR3","German Open 1992",13052,"WD","Final","5000445, 5041477","5046844, 5046994","15-9 / 15-0","15-Sep"," 15-0","","","",15,9,15,0,NA,NA,NA,NA,NA,NA,2,0,30,9,5,10
1992-10-01,"STAR3","German Open 1992",13052,"WD","Semi final","5000445, 5041477","5042042, 5055017","15-4 / 18-15","15-Apr"," 18-15","","","",15,4,18,15,NA,NA,NA,NA,NA,NA,2,0,33,19,5,8
1992-10-01,"STAR3","German Open 1992",13052,"WD","Semi final","5046844, 5046994","5050334, 5055570","15-9 / 15-7","15-Sep"," 15-7","","","",15,9,15,7,NA,NA,NA,NA,NA,NA,2,0,30,16,5,8
1992-10-01,"STAR3","German Open 1992",13052,"WD","Quarter final","5042042, 5055017","5004998, 5048629","17-18 / 15-10 / 15-9","17-18 "," 15-10 "," 15-9","","",17,18,15,10,15,9,NA,NA,NA,NA,2,1,47,37,5,6
1992-10-01,"STAR2","Denmark Open 1992",13352,"WD","Final","5000445, 5041477","5046844, 5046994","15-7 / 15-3","15-Jul"," 15-3","","","",15,7,15,3,NA,NA,NA,NA,NA,NA,2,0,30,10,4,10
1992-10-01,"STAR2","Denmark Open 1992",13352,"WD","Semi final","5046844, 5046994","5050334, 5055570","15-10 / 18-15","15-Oct"," 18-15","","","",15,10,18,15,NA,NA,NA,NA,NA,NA,2,0,33,25,4,8
1992-10-01,"STAR2","Denmark Open 1992",13352,"WD","Semi final","5000445, 5041477","5042042, 5055017","15-8 / 15-7","15-Aug"," 15-7","","","",15,8,15,7,NA,NA,NA,NA,NA,NA,2,0,30,15,4,8
1992-11-01,"STAR4","China Open 1992",13382,"WD","Round 1","5045288, 5048206","5049935, 5049974","15-5 / 15-7","15-May"," 15-7","","","",15,5,15,7,NA,NA,NA,NA,NA,NA,2,0,30,12,6,4
1992-11-01,"STAR3","Hong Kong Open 1992",10318,"WD","Qual Quarter final","5049935, 5049974","5046842, 5046916","15-6 / 15-12","15-Jun"," 15-12","","","",15,6,15,12,NA,NA,NA,NA,NA,NA,2,0,30,18,5,2
1992-12-01,"GPF","World Grand Prix Final 1992",12770,"WD","Final","5015724, 5047892","5050334, 5055570","15-7 / 17-16","15-Jul"," 17-16","","","",15,7,17,16,NA,NA,NA,NA,NA,NA,2,0,32,23,9,10
1993-01-01,"STAR4","Chinese Taipei Open 1993",12614,"WD","Final","5000445, 5041477","5053439, 5053941","18-15 / 18-13","18-15 "," 18-13","","","",18,15,18,13,NA,NA,NA,NA,NA,NA,2,0,36,28,6,10
1993-01-01,"STAR4","Chinese Taipei Open 1993",12614,"WD","Semi final","5000445, 5041477","5009463, 5023439","15-12 / 15-12","15-Dec"," 15-12","","","",15,12,15,12,NA,NA,NA,NA,NA,NA,2,0,30,24,6,8
1993-01-01,"STAR4","Chinese Taipei Open 1993",12614,"WD","Quarter final","5053439, 5053941","5050334, 5055570","15-12 / 7-15 / 15-6","15-Dec"," 7-15 "," 15-6","","",15,12,7,15,15,6,NA,NA,NA,NA,2,1,37,33,6,6
1993-01-01,"STAR4","Japan Open 1993",10395,"WD","Final","5015808, 5055740","5009463, 5023439","15-12 / 15-5","15-Dec"," 15-5","","","",15,12,15,5,NA,NA,NA,NA,NA,NA,2,0,30,17,6,10
1993-01-01,"STAR4","Japan Open 1993",10395,"WD","Semi final","5015808, 5055740","5000445, 5041477","15-11 / 15-12","15-Nov"," 15-12","","","",15,11,15,12,NA,NA,NA,NA,NA,NA,2,0,30,23,6,8
1993-01-01,"STAR4","Japan Open 1993",10395,"WD","Quarter final","5009463, 5023439","5015724, 5047892","18-13 / 15-6","18-13 "," 15-6","","","",18,13,15,6,NA,NA,NA,NA,NA,NA,2,0,33,19,6,6
1993-01-01,"STAR4","Japan Open 1993",10395,"WD","Quarter final","5015808, 5055740","5020426, 5033101","17-15 / 5-15 / 15-7","17-15 "," 5-15 "," 15-7","","",17,15,5,15,15,7,NA,NA,NA,NA,2,1,37,37,6,6
1993-01-01,"STAR4","Japan Open 1993",10395,"WD","Round 2","5046844, 5046994","5053439, 5053941","15-10 / 8-15 / 15-9","15-Oct"," 8-15 "," 15-9","","",15,10,8,15,15,9,NA,NA,NA,NA,2,1,38,34,6,4
1993-01-01,"STAR4","Korea Open 1993",12867,"WD","Final","5015808, 5055740","5015724, 5047892","15-8 / 15-5","15-Aug"," 15-5","","","",15,8,15,5,NA,NA,NA,NA,NA,NA,2,0,30,13,6,10
1993-01-01,"STAR4","Korea Open 1993",12867,"WD","Semi final","5015724, 5047892","5050334, 5055570","15-11 / 15-1","15-Nov"," 15-1","","","",15,11,15,1,NA,NA,NA,NA,NA,NA,2,0,30,12,6,8
1993-01-01,"STAR4","Korea Open 1993",12867,"WD","Quarter final","5015808, 5055740","5053439, 5053941","15-6 / 15-4","15-Jun"," 15-4","","","",15,6,15,4,NA,NA,NA,NA,NA,NA,2,0,30,10,6,6
1993-01-01,"STAR4","Korea Open 1993",12867,"WD","Quarter final","5015724, 5047892","5046844, 5046994","15-1 / 15-3","15-Jan"," 15-3","","","",15,1,15,3,NA,NA,NA,NA,NA,NA,2,0,30,4,6,6
1993-01-01,"STAR4","Korea Open 1993",12867,"WD","Quarter final","5050334, 5055570","5020426, 5033101","8-15 / 15-9 / 15-9","Aug-15"," 15-9 "," 15-9","","",8,15,15,9,15,9,NA,NA,NA,NA,2,1,38,33,6,6
1993-01-01,"STAR4","Korea Open 1993",12867,"WD","Round 2","5020426, 5033101","5042042, 5046529","15-12 / 15-11","15-Dec"," 15-11","","","",15,12,15,11,NA,NA,NA,NA,NA,NA,2,0,30,23,6,4
1993-01-01,"STAR4","Korea Open 1993",12867,"WD","Round 2","5053439, 5053941","5055012, 5055017","8-15 / 15-3 / 15-4","Aug-15"," 15-3 "," 15-4","","",8,15,15,3,15,4,NA,NA,NA,NA,2,1,38,22,6,4
1993-03-01,"STAR5","All England Open 1993",12398,"WD","Final","5015808, 5055740","5015724, 5047892","5-15 / 15-4 / 15-7","May-15"," 15-4 "," 15-7","","",5,15,15,4,15,7,NA,NA,NA,NA,2,1,35,26,7,10
1993-03-01,"STAR5","All England Open 1993",12398,"WD","Semi final","5015724, 5047892","5009463, 5023439","15-5 / 15-8","15-May"," 15-8","","","",15,5,15,8,NA,NA,NA,NA,NA,NA,2,0,30,13,7,8
1993-03-01,"STAR5","All England Open 1993",12398,"WD","Semi final","5015808, 5055740","5000445, 5041477","15-3 / 15-5","15-Mar"," 15-5","","","",15,3,15,5,NA,NA,NA,NA,NA,NA,2,0,30,8,7,8
