"Year","Level","Tournament_Name","Tournament_ID","Type","Round","Winner","Loser","Score","Match1","Match2","Match3","Match4","Match5","Match1W","Match1L","Match2W","Match2L","Match3W","Match3L","Match4W","Match4L","Match5W","Match5L","Winner_Match_Won","Loser_Match_Won","Win_points_total","Lose_points_total","level_weight","round_weight"
"Jan-92","STAR4","Chinese Taipei Open 1992",10700,"XD","Semi final","5046994, 5049289","5045944, 5055570","12-15 / 15-5 / 15-7","Dec-15"," 15-5 "," 15-7","","",12,15,15,5,15,7,,,,,2,1,42,27,6,8
"Jan-92","STAR4","Japan Open 1992",10426,"XD","Final","5021791, 5053579","5047106, 5049828","15-5 / 15-11","15-May"," 15-11","","","",15,5,15,11,,,,,,,2,0,30,16,6,10
"Jan-92","STAR4","Japan Open 1992",10426,"XD","Quarter final","5021791, 5053579","5046994, 5049289","15-10 / 18-13","15-Oct"," 18-13","","","",15,10,18,13,,,,,,,2,0,33,23,6,6
"Jan-92","STAR4","Japan Open 1992",10426,"XD","Round 1","5045944, 5055570","5030767, 5047345","15-10 / 18-13","15-Oct"," 18-13","","","",15,10,18,13,,,,,,,2,0,33,23,6,4
"Jan-92","STAR4","Korea Open 1992",10073,"XD","Semi final","5021791, 5053579","5014001, 5055359","18-14 / 15-5","18-14 "," 15-5","","","",18,14,15,5,,,,,,,2,0,33,19,6,8
"Mar-92","STAR5","All England Open 1992",13659,"XD","Final","5021791, 5053579","5047106, 5049828","15-10 / 15-1","15-Oct"," 15-1","","","",15,10,15,1,,,,,,,2,0,30,11,7,10
"Mar-92","STAR5","All England Open 1992",13659,"XD","Semi final","5047106, 5049828","5046994, 5049289","15-12 / 15-7","15-Dec"," 15-7","","","",15,12,15,7,,,,,,,2,0,30,19,7,8
"Mar-92","STAR5","All England Open 1992",13659,"XD","Quarter final","5021791, 5053579","5046301, 5052046","15-6 / 15-7","15-Jun"," 15-7","","","",15,6,15,7,,,,,,,2,0,30,13,7,6
"Mar-92","STAR5","All England Open 1992",13659,"XD","Round 2","5047106, 5049828","5048584, 5049765","15-11 / 15-3","15-Nov"," 15-3","","","",15,11,15,3,,,,,,,2,0,30,14,7,4
"Mar-92","STAR5","All England Open 1992",13659,"XD","Round 2","5021791, 5053579","5050441, 5050470","15-2 / 15-12","15-Feb"," 15-12","","","",15,2,15,12,,,,,,,2,0,30,14,7,4
"Sep-92","STAR5","Indonesia Open 1992",12084,"XD","Final","5046994, 5049289","5014001, 5055359","12-15 / 15-11 / 15-12","Dec-15"," 15-11 "," 15-12","","",12,15,15,11,15,12,,,,,2,1,42,38,7,10
"Oct-92","STAR3","German Open 1992",13052,"XD","Final","5021791, 5053579","5046994, 5049289","15-9 / 15-12","15-Sep"," 15-12","","","",15,9,15,12,,,,,,,2,0,30,21,5,10
"Oct-92","STAR2","Denmark Open 1992",13352,"XD","Semi final","5021791, 5053579","5046164, 5046529","15-10 / 15-11","15-Oct"," 15-11","","","",15,10,15,11,,,,,,,2,0,30,21,4,8
"Oct-92","STAR2","Denmark Open 1992",13352,"XD","Quarter final","5021791, 5053579","5050441, 5050470","15-5 / 15-2","15-May"," 15-2","","","",15,5,15,2,,,,,,,2,0,30,7,4,6
"Nov-92","STAR4","China Open 1992",13382,"XD","Final","5014001, 5055359","5046301, 5052046","15-8 / 9-15 / 17-16","15-Aug"," 9-15 "," 17-16","","",15,8,9,15,17,16,,,,,2,1,41,39,6,10
"Nov-92","STAR4","China Open 1992",13382,"XD","Quarter final","5014001, 5055359","5050027, 5053521","17-16 / 15-2","17-16 "," 15-2","","","",17,16,15,2,,,,,,,2,0,32,18,6,6
"Nov-92","STAR3","Hong Kong Open 1992",10318,"XD","Semi final","5014001, 5055359","5021791, 5053579","15-10 / 15-0","15-Oct"," 15-0","","","",15,10,15,0,,,,,,,2,0,30,10,5,8
"Nov-92","STAR4","Thailand Open 1992",14007,"XD","Semi final","5014001, 5055359","5046301, 5052046","18-15 / 15-0","18-15 "," 15-0","","","",18,15,15,0,,,,,,,2,0,33,15,6,8
"Dec-92","GPF","World Grand Prix Final 1992",12770,"XD","Final","5021791, 5053579","5047106, 5049828","15-5 / 15-2","15-May"," 15-2","","","",15,5,15,2,,,,,,,2,0,30,7,9,10
"Jan-93","STAR4","Japan Open 1993",10395,"XD","Semi final","5021791, 5046844","5046164, 5046529","15-2 / 15-7","15-Feb"," 15-7","","","",15,2,15,7,,,,,,,2,0,30,9,6,8
"Jan-93","STAR4","Japan Open 1993",10395,"XD","Quarter final","5021791, 5046844","5045944, 5055570","15-5 / 15-4","15-May"," 15-4","","","",15,5,15,4,,,,,,,2,0,30,9,6,6
"Jan-93","STAR4","Korea Open 1993",12867,"XD","Quarter final","5021791, 5046844","5046301, 5052046","15-1 / 18-16","15-Jan"," 18-16","","","",15,1,18,16,,,,,,,2,0,33,17,6,6
"Mar-93","STAR5","All England Open 1993",12398,"XD","Semi final","5047106, 5049828","5045944, 5055570","15-8 / 15-6","15-Aug"," 15-6","","","",15,8,15,6,,,,,,,2,0,30,14,7,8
"Mar-93","STAR5","All England Open 1993",12398,"XD","Quarter final","5047106, 5049828","5046756, 5050131","15-5 / 15-5","15-May"," 15-5","","","",15,5,15,5,,,,,,,2,0,30,10,7,6
"Mar-93","STAR5","All England Open 1993",12398,"XD","Round 2","5046164, 5046529","5014001, 5055359","15-12 / 15-6","15-Dec"," 15-6","","","",15,12,15,6,,,,,,,2,0,30,18,7,4
